Drug	ATC_ClassID	ATC_ClassName	EPC_ClassID	EPC_ClassName	MOA_ClassID	MOA_ClassName
Ponatinib Hydrochloride	L01XE	Protein kinase inhibitors	N0000175605	Kinase Inhibitor	N0000175076	Protein Kinase Inhibitors
Goserelin Acetate	L02AE	Gonadotropin releasing hormone analogues	null	null	null	null
Cisplatin	L01XA	Platinum compounds	N0000175413	Platinum-based Drug	null	null
Aldesleukin	L03AC	Interleukins	N0000175667	Lymphocyte Growth Factor	null	null
Dexrazoxane Hydrochloride	V03AF	Detoxifying agents for antineoplastic treatment	N0000180854	Cytoprotective Agent	null	null
Decitabine	L01BC	Pyrimidine analogues	N0000175595	Nucleoside Metabolic Inhibitor	N0000000233	Nucleic Acid Synthesis Inhibitors
Raloxifene Hydrochloride	G03XC	Selective estrogen receptor modulators	N0000175826	Estrogen Agonist/Antagonist	N0000000168	Selective Estrogen Receptor Modulators
Uridine Triacetate	null	null	null	null	null	null
Thalidomide	L04AX	Other immunosuppressants	null	null	null	null
Chlorambucil	L01AA	Nitrogen mustard analogues	N0000175558	Alkylating Drug	N0000000236	Alkylating Activity
Clofarabine	L01BB	Purine analogues	N0000175595	Nucleoside Metabolic Inhibitor	N0000000233	Nucleic Acid Synthesis Inhibitors
Pembrolizumab	L01XC	Monoclonal antibodies	N0000191260	Programmed Death Receptor-1 Blocking Antibody	N0000191259	Programmed Death Receptor-1-directed Antibody Interactions
Capecitabine	L01BC	Pyrimidine analogues	N0000175595	Nucleoside Metabolic Inhibitor	N0000000233	Nucleic Acid Synthesis Inhibitors
Oxaliplatin	L01XA	Platinum compounds	N0000175413	Platinum-based Drug	null	null
Carmustine	L01AD	Nitrosoureas	N0000175558	Alkylating Drug	N0000000236	Alkylating Activity
Enzalutamide	L02BB	Anti-androgens	N0000175560	Androgen Receptor Inhibitor	N0000185607	Cytochrome P450 2C19 Inducers
Lenvatinib Mesylate	L01XE	Protein kinase inhibitors	N0000175605	Kinase Inhibitor	N0000020000	Receptor Tyrosine Kinase Inhibitors
Nivolumab	L01XC	Monoclonal antibodies	N0000191260	Programmed Death Receptor-1 Blocking Antibody	N0000191259	Programmed Death Receptor-1-directed Antibody Interactions
Dabrafenib	L01XE	Protein kinase inhibitors	N0000175605	Kinase Inhibitor	N0000190113	Breast Cancer Resistance Protein Inhibitors
Busulfan	L01AB	Alkyl sulfonates	N0000175558	Alkylating Drug	N0000000236	Alkylating Activity
Docetaxel	L01CD	Taxanes	N0000175592	Microtubule Inhibitor	null	null
Rasburicase	V03AF	Detoxifying agents for antineoplastic treatment	N0000175670	Uric Acid-specific Enzyme	null	null
Cobimetinib	null	null	N0000175605	Kinase Inhibitor	N0000175082	Kinase Inhibitors
Crizotinib	L01XE	Protein kinase inhibitors	N0000175605	Kinase Inhibitor	N0000191265	Organic Cation Transporter 1 Inhibitors
Hydroxyurea	L01XX	Other antineoplastic agents	N0000180853	Antimetabolite	null	null
Sonidegib	L01XX	Other antineoplastic agents	N0000184149	Hedgehog Pathway Inhibitor	N0000184148	Smoothened Receptor Antagonists
Ramucirumab	L01XC	Monoclonal antibodies	N0000191009	Vascular Endothelial Growth Factor Receptor 2 Antagonist	N0000020032	VEGFR2 Inhibitors
Sunitinib Malate	L01XE	Protein kinase inhibitors	N0000175605	Kinase Inhibitor	N0000175076	Protein Kinase Inhibitors
Cabazitaxel	L01CD	Taxanes	N0000175592	Microtubule Inhibitor	null	null
Tamoxifen Citrate	L02BA	Anti-estrogens	N0000175826	Estrogen Agonist/Antagonist	N0000000168	Selective Estrogen Receptor Modulators
Talimogene Laherparepvec	null	null	null	null	null	null
Anastrozole	L02BG	Aromatase inhibitors	N0000175563	Aromatase Inhibitor	N0000175080	Aromatase Inhibitors
Ceritinib	L01XE	Protein kinase inhibitors	N0000175605	Kinase Inhibitor	N0000190114	Cytochrome P450 3A Inhibitors
Bortezomib	L01XX	Other antineoplastic agents	N0000175604	Proteasome Inhibitor	N0000175075	Proteasome Inhibitors
Ruxolitinib Phosphate	L01XE	Protein kinase inhibitors	N0000175605	Kinase Inhibitor	N0000175076	Protein Kinase Inhibitors
Lomustine	L01AD	Nitrosoureas	N0000175558	Alkylating Drug	N0000000236	Alkylating Activity
Bleomycin	L01DC	Other cytotoxic antibiotics	N0000180854	Cytoprotective Agent	null	null
Carboplatin	L01XA	Platinum compounds	N0000175413	Platinum-based Drug	null	null
Venetoclax	null	null	null	null	null	null
Ibrutinib	L01XE	Protein kinase inhibitors	N0000175605	Kinase Inhibitor	N0000175076	Protein Kinase Inhibitors
Methotrexate	L04AX	Other immunosuppressants	N0000175584	Folate Analog Metabolic Inhibitor	N0000000111	Folic Acid Metabolism Inhibitors
Cyclophosphamide	L01AA	Nitrogen mustard analogues	N0000175558	Alkylating Drug	N0000000236	Alkylating Activity
Filgrastim	L03AA	Colony stimulating factors	N0000175666	Leukocyte Growth Factor	null	null
Eltrombopag Olamine	B02BX	Other systemic hemostatics	N0000175973	Thrombopoietin Receptor Agonist	N0000191278	UGT1A9 Inhibitors
Palifermin	V03AF	Detoxifying agents for antineoplastic treatment	N0000175671	Mucocutaneous Epithelial Cell Growth Factor	null	null
Mercaptopurine	L01BB	Purine analogues	N0000175595	Nucleoside Metabolic Inhibitor	N0000000233	Nucleic Acid Synthesis Inhibitors
Ibritumomab Tiuxetan	null	null	N0000175658	CD20-directed Radiotherapeutic Antibody	N0000175078	CD20-directed Antibody Interactions
Dexamethasone	S03BA	Corticosteroids	N0000175576	Corticosteroid	N0000175450	Corticosteroid Hormone Receptor Agonists
Vismodegib	L01XX	Other antineoplastic agents	N0000184149	Hedgehog Pathway Inhibitor	N0000184148	Smoothened Receptor Antagonists
Leuprolide Acetate	L02AE	Gonadotropin releasing hormone analogues	N0000175655	Gonadotropin Releasing Hormone Receptor Agonist	N0000175654	Gonadotropin Releasing Hormone Receptor Agonists
Nelarabine	L01BB	Purine analogues	N0000175595	Nucleoside Metabolic Inhibitor	N0000000233	Nucleic Acid Synthesis Inhibitors
